8	19	34	8
5	13	7	15
7	22	6	20
8	11	29	15
8	13	22	9
7	20	49	22
4	0	32	14
6	12	13	13
3	14	1	22
8	21	47	24
1	16	5	29
1	12	35	21
4	20	44	21
2	23	21	26
7	16	2	17
1	15	43	17
1	18	16	25
6	13	21	17
6	23	1	30
7	21	28	5
5	16	54	21
4	20	18	26
1	23	47	20
4	16	42	23
8	18	15	27
7	22	56	18
1	22	37	18
4	15	45	17
5	19	1	25
3	12	54	27
8	16	23	12
2	13	31	14
2	22	5	5
4	20	5	15
1	0	9	18
1	14	36	13
5	20	29	25
5	15	7	26
5	16	4	16
5	15	51	28
8	0	31	26
5	22	49	7
5	22	8	13
4	18	19	15
4	19	54	27
6	23	19	19
2	15	20	15
2	17	40	9
1	23	46	24
1	23	6	6
6	15	35	27
5	14	59	7
2	19	1	15
8	17	49	10
1	11	27	5
8	23	57	25
5	19	54	9
2	13	2	11
4	16	9	6
4	17	47	30
6	14	37	6
1	12	57	26
8	19	37	6
1	11	42	15
4	12	56	27
6	11	57	16
7	14	10	9
8	19	31	29
1	21	55	8
2	21	47	14
8	13	35	7
3	22	55	9
6	13	55	8
6	17	54	18
6	12	11	22
2	23	59	12
3	20	17	27
3	23	24	12
1	15	9	24
7	15	13	30
2	17	19	22
2	14	41	6
2	18	6	6
2	19	44	8
4	12	41	27
4	11	20	17
3	14	45	27
5	23	55	23
1	20	49	17
1	18	50	14
4	23	50	17
8	16	1	21
3	16	14	20
4	18	13	19
5	15	49	21
5	11	13	16
3	12	28	25
5	0	2	30
2	11	16	14
4	14	7	29
2	15	29	5
4	16	29	24
1	20	24	20
6	13	20	13
8	22	32	27
4	17	16	28
4	22	2	7
5	0	53	8
7	14	1	8
4	16	15	12
5	16	31	12
1	17	3	6
8	18	49	27
7	17	48	18
4	19	15	6
4	23	11	20
3	18	58	16
4	17	31	6
2	21	4	21
7	16	10	15
2	15	12	22
6	19	31	17
8	13	16	27
1	18	29	6
6	16	41	5
4	14	54	16
8	14	26	8
5	0	58	5
7	22	4	24
8	19	7	14
1	14	55	29
4	20	16	8
7	0	52	12
4	22	23	11
6	11	6	17
6	20	57	10
7	0	46	20
7	0	59	27
7	18	10	6
5	13	51	25
8	13	38	9
3	20	3	29
6	21	18	14
1	21	18	20
2	0	41	18
1	20	40	9
2	0	37	11
3	22	10	14
7	12	8	25
2	13	12	19
6	21	1	24
5	22	42	6
8	14	29	23
7	16	8	26
2	16	46	23
8	15	2	13
5	22	12	20
1	12	56	15
7	13	3	11
8	21	10	23
1	11	18	30
6	15	36	28
2	15	14	30
2	12	37	29
